RebelLaser.wav			70 2000 ; 000__1_0 - RebelLaser
EmpireLaserStarship.wav		75 3000 ; 034__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 034__1_0 - IonCannonStarship
unused ; 034__1_0 - unused
RebelLaser.wav			70 2000 ; 035__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 035__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 035__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 035__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 035__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 035__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 035__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 035__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 035__1_0 - IonCannonStarship
unused ; 035__1_0 - unused
RebelLaser.wav			70 2000 ; 036__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 036__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 036__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 036__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 036__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 036__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 036__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 036__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 036__1_0 - IonCannonStarship
unused ; 036__1_0 - unused
RebelLaser.wav			70 2000 ; 037__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 037__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 037__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 037__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 037__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 037__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 037__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 037__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 037__1_0 - IonCannonStarship
unused ; 037__1_0 - unused
RebelLaser.wav			70 2000 ; 038__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 038__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 038__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 038__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 038__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 038__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 038__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 038__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 038__1_0 - IonCannonStarship
unused ; 038__1_0 - unused
RebelLaser.wav			70 2000 ; 039__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 039__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 039__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 039__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 039__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 039__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 039__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 039__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 039__1_0 - IonCannonStarship
unused ; 039__1_0 - unused
RebelLaser.wav			70 2000 ; 040__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 040__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 040__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 040__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 040__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 040__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 040__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 040__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 040__1_0 - IonCannonStarship
unused ; 040__1_0 - unused
RebelLaser.wav			70 2000 ; 041__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 041__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 041__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 041__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 041__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 041__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 041__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 041__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 041__1_0 - IonCannonStarship
unused ; 041__1_0 - unused
RebelLaser.wav			70 2000 ; 042__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 042__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 042__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 042__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 042__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 042__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 042__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 042__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 042__1_0 - IonCannonStarship
unused ; 042__1_0 - unused
RebelLaser.wav			70 2000 ; 043_0_32_Tug - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 043_0_32_Tug - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 043_0_32_Tug - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 043_0_32_Tug - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 043_0_32_Tug - IonCannon
IonCannonTurbo.wav		75 2800 ; 043_0_32_Tug - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 043_0_32_Tug - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 043_0_32_Tug - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 043_0_32_Tug - IonCannonStarship
unused ; 043_0_32_Tug - unused
RebelLaser.wav			70 2000 ; 044_0_33_CombatUtilityVehicle - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 044_0_33_CombatUtilityVehicle - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 044_0_33_CombatUtilityVehicle - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 044_0_33_CombatUtilityVehicle - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 044_0_33_CombatUtilityVehicle - IonCannon
IonCannonTurbo.wav		75 2800 ; 044_0_33_CombatUtilityVehicle - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 044_0_33_CombatUtilityVehicle - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 044_0_33_CombatUtilityVehicle - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 044_0_33_CombatUtilityVehicle - IonCannonStarship
unused ; 044_0_33_CombatUtilityVehicle - unused
RebelLaser.wav			70 2000 ; 045_0_34_HeavyLifter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 045_0_34_HeavyLifter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 045_0_34_HeavyLifter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 045_0_34_HeavyLifter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 045_0_34_HeavyLifter - IonCannon
IonCannonTurbo.wav		75 2800 ; 045_0_34_HeavyLifter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 045_0_34_HeavyLifter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 045_0_34_HeavyLifter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 045_0_34_HeavyLifter - IonCannonStarship
unused ; 045_0_34_HeavyLifter - unused
RebelLaser.wav			70 2000 ; 046_0_35_MoleMiner - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 046_0_35_MoleMiner - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 046_0_35_MoleMiner - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 046_0_35_MoleMiner - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 046_0_35_MoleMiner - IonCannon
IonCannonTurbo.wav		75 2800 ; 046_0_35_MoleMiner - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 046_0_35_MoleMiner - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 046_0_35_MoleMiner - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 046_0_35_MoleMiner - IonCannonStarship
unused ; 046_0_35_MoleMiner - unused
RebelLaser.wav			70 2000 ; 047_0_36_EscapePod - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 047_0_36_EscapePod - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 047_0_36_EscapePod - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 047_0_36_EscapePod - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 047_0_36_EscapePod - IonCannon
IonCannonTurbo.wav		75 2800 ; 047_0_36_EscapePod - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 047_0_36_EscapePod - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 047_0_36_EscapePod - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 047_0_36_EscapePod - IonCannonStarship
unused ; 047_0_36_EscapePod - unused
RebelLaser.wav			70 2000 ; 048_0_153_EscapePodA - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 048_0_153_EscapePodA - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 048_0_153_EscapePodA - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 048_0_153_EscapePodA - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 048_0_153_EscapePodA - IonCannon
IonCannonTurbo.wav		75 2800 ; 048_0_153_EscapePodA - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 048_0_153_EscapePodA - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 048_0_153_EscapePodA - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 048_0_153_EscapePodA - IonCannonStarship
unused ; 048_0_153_EscapePodA - unused
RebelLaser.wav			70 2000 ; 049__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 049__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 049__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 049__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 049__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 049__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 049__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 049__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 049__1_0 - IonCannonStarship
unused ; 049__1_0 - unused
RebelLaser.wav			70 2000 ; 050_0_37_Shuttle - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 050_0_37_Shuttle - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 050_0_37_Shuttle - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 050_0_37_Shuttle - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 050_0_37_Shuttle - IonCannon
IonCannonTurbo.wav		75 2800 ; 050_0_37_Shuttle - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 050_0_37_Shuttle - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 050_0_37_Shuttle - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 050_0_37_Shuttle - IonCannonStarship
unused ; 050_0_37_Shuttle - unused
RebelLaser.wav			70 2000 ; 051_0_38_EscortShuttle - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 051_0_38_EscortShuttle - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 051_0_38_EscortShuttle - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 051_0_38_EscortShuttle - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 051_0_38_EscortShuttle - IonCannon
IonCannonTurbo.wav		75 2800 ; 051_0_38_EscortShuttle - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 051_0_38_EscortShuttle - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 051_0_38_EscortShuttle - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 051_0_38_EscortShuttle - IonCannonStarship
unused ; 051_0_38_EscortShuttle - unused
RebelLaser.wav			70 2000 ; 052_0_39_StormtrooperTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 052_0_39_StormtrooperTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 052_0_39_StormtrooperTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 052_0_39_StormtrooperTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 052_0_39_StormtrooperTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 052_0_39_StormtrooperTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 052_0_39_StormtrooperTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 052_0_39_StormtrooperTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 052_0_39_StormtrooperTransport - IonCannonStarship
unused ; 052_0_39_StormtrooperTransport - unused
RebelLaser.wav			70 2000 ; 053_0_40_AssaultTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 053_0_40_AssaultTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 053_0_40_AssaultTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 053_0_40_AssaultTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 053_0_40_AssaultTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 053_0_40_AssaultTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 053_0_40_AssaultTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 053_0_40_AssaultTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 053_0_40_AssaultTransport - IonCannonStarship
unused ; 053_0_40_AssaultTransport - unused
RebelLaser.wav			70 2000 ; 054_0_41_EscortTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 054_0_41_EscortTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 054_0_41_EscortTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 054_0_41_EscortTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 054_0_41_EscortTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 054_0_41_EscortTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 054_0_41_EscortTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 054_0_41_EscortTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 054_0_41_EscortTransport - IonCannonStarship
unused ; 054_0_41_EscortTransport - unused
RebelLaser.wav			70 2000 ; 055_0_42_SystemPatrolCraft - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 055_0_42_SystemPatrolCraft - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 055_0_42_SystemPatrolCraft - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 055_0_42_SystemPatrolCraft - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 055_0_42_SystemPatrolCraft - IonCannon
IonCannonTurbo.wav		75 2800 ; 055_0_42_SystemPatrolCraft - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 055_0_42_SystemPatrolCraft - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 055_0_42_SystemPatrolCraft - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 055_0_42_SystemPatrolCraft - IonCannonStarship
unused ; 055_0_42_SystemPatrolCraft - unused
RebelLaser.wav			70 2000 ; 056_0_43_ScoutCraft - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 056_0_43_ScoutCraft - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 056_0_43_ScoutCraft - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 056_0_43_ScoutCraft - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 056_0_43_ScoutCraft - IonCannon
IonCannonTurbo.wav		75 2800 ; 056_0_43_ScoutCraft - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 056_0_43_ScoutCraft - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 056_0_43_ScoutCraft - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 056_0_43_ScoutCraft - IonCannonStarship
unused ; 056_0_43_ScoutCraft - unused
RebelLaser.wav			70 2000 ; 057_0_44_MuurianTransport - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 057_0_44_MuurianTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 057_0_44_MuurianTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 057_0_44_MuurianTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 057_0_44_MuurianTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 057_0_44_MuurianTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 057_0_44_MuurianTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 057_0_44_MuurianTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 057_0_44_MuurianTransport - IonCannonStarship
unused ; 057_0_44_MuurianTransport - unused
FalconLaser.wav			48 2000 ; 058_0_45_CorellianTransport2 - RebelLaser
FalconLaserTurbo.wav		48 2000 ; 058_0_45_CorellianTransport2 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 058_0_45_CorellianTransport2 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 058_0_45_CorellianTransport2 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 058_0_45_CorellianTransport2 - IonCannon
IonCannonTurbo.wav		75 2800 ; 058_0_45_CorellianTransport2 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 058_0_45_CorellianTransport2 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 058_0_45_CorellianTransport2 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 058_0_45_CorellianTransport2 - IonCannonStarship
unused ; 058_0_45_CorellianTransport2 - unused
FalconLaser.wav			48 2000 ; 059_0_46_MilleniumFalcon2 - RebelLaser
FalconLaserTurbo.wav		48 2000 ; 059_0_46_MilleniumFalcon2 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 059_0_46_MilleniumFalcon2 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 059_0_46_MilleniumFalcon2 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 059_0_46_MilleniumFalcon2 - IonCannon
IonCannonTurbo.wav		75 2800 ; 059_0_46_MilleniumFalcon2 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 059_0_46_MilleniumFalcon2 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 059_0_46_MilleniumFalcon2 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 059_0_46_MilleniumFalcon2 - IonCannonStarship
unused ; 059_0_46_MilleniumFalcon2 - unused
RebelLaser.wav			70 2000 ; 060_0_47_Outrider - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 060_0_47_Outrider - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 060_0_47_Outrider - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 060_0_47_Outrider - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 060_0_47_Outrider - IonCannon
IonCannonTurbo.wav		75 2800 ; 060_0_47_Outrider - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 060_0_47_Outrider - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 060_0_47_Outrider - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 060_0_47_Outrider - IonCannonStarship
unused ; 060_0_47_Outrider - unused
RebelLaser.wav			70 2000 ; 061_0_48_ImpLandingCraft - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 061_0_48_ImpLandingCraft - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 061_0_48_ImpLandingCraft - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 061_0_48_ImpLandingCraft - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 061_0_48_ImpLandingCraft - IonCannon
IonCannonTurbo.wav		75 2800 ; 061_0_48_ImpLandingCraft - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 061_0_48_ImpLandingCraft - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 061_0_48_ImpLandingCraft - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 061_0_48_ImpLandingCraft - IonCannonStarship
unused ; 061_0_48_ImpLandingCraft - unused
RebelLaser.wav			70 2000 ; 062_0_49_AssaultShuttle - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 062_0_49_AssaultShuttle - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 062_0_49_AssaultShuttle - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 062_0_49_AssaultShuttle - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 062_0_49_AssaultShuttle - IonCannon
IonCannonTurbo.wav		75 2800 ; 062_0_49_AssaultShuttle - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 062_0_49_AssaultShuttle - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 062_0_49_AssaultShuttle - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 062_0_49_AssaultShuttle - IonCannonStarship
unused ; 062_0_49_AssaultShuttle - unused
RebelLaser.wav			70 2000 ; 063_0_50_LuxuryYacht - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 063_0_50_LuxuryYacht - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 063_0_50_LuxuryYacht - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 063_0_50_LuxuryYacht - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 063_0_50_LuxuryYacht - IonCannon
IonCannonTurbo.wav		75 2800 ; 063_0_50_LuxuryYacht - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 063_0_50_LuxuryYacht - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 063_0_50_LuxuryYacht - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 063_0_50_LuxuryYacht - IonCannonStarship
unused ; 063_0_50_LuxuryYacht - unused
RebelLaser.wav			70 2000 ; 064_0_51_FerryboatLiner - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 064_0_51_FerryboatLiner - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 064_0_51_FerryboatLiner - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 064_0_51_FerryboatLiner - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 064_0_51_FerryboatLiner - IonCannon
IonCannonTurbo.wav		75 2800 ; 064_0_51_FerryboatLiner - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 064_0_51_FerryboatLiner - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 064_0_51_FerryboatLiner - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 064_0_51_FerryboatLiner - IonCannonStarship
unused ; 064_0_51_FerryboatLiner - unused
FalconLaser.wav			48 2000 ; 065_0_52_FamilyTransport - RebelLaser
FalconLaserTurbo.wav		48 2000 ; 065_0_52_FamilyTransport - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 065_0_52_FamilyTransport - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 065_0_52_FamilyTransport - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 065_0_52_FamilyTransport - IonCannon
IonCannonTurbo.wav		75 2800 ; 065_0_52_FamilyTransport - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 065_0_52_FamilyTransport - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 065_0_52_FamilyTransport - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 065_0_52_FamilyTransport - IonCannonStarship
unused ; 065_0_52_FamilyTransport - unused
RebelLaser.wav			70 2000 ; 066__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 066__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 066__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 066__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 066__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 066__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 066__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 066__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 066__1_0 - IonCannonStarship
unused ; 066__1_0 - unused
RebelLaser.wav			70 2000 ; 067__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 067__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 067__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 067__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 067__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 067__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 067__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 067__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 067__1_0 - IonCannonStarship
unused ; 067__1_0 - unused
RebelLaser.wav			70 2000 ; 068__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 068__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 068__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 068__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 068__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 068__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 068__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 068__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 068__1_0 - IonCannonStarship
unused ; 068__1_0 - unused
RebelLaser.wav			70 2000 ; 069__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 069__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 069__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 069__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 069__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 069__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 069__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 069__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 069__1_0 - IonCannonStarship
unused ; 069__1_0 - unused
RebelLaser.wav			70 2000 ; 070__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 070__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 070__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 070__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 070__1_0 - IonCannon
